Gene Size,Cell Size,Percent,Peak Memory Usage
1000,20000,0.1,304.0341444015503
1000,20000,0.5,289.4931869506836
1000,20000,1.0,284.1021604537964
1000,20000,10.0,303.00417137145996
1000,20000,30.0,334.97176361083984
1000,20000,5.0,283.18307399749756
1000,30000,0.1,450.4162788391113
1000,30000,0.5,427.28405475616455
1000,30000,1.0,436.7104549407959
1000,30000,10.0,448.87038707733154
1000,30000,30.0,502.46150970458984
1000,30000,5.0,425.9156894683838
1000,40000,0.1,565.8384523391724
1000,40000,0.5,576.2435445785522
1000,40000,1.0,560.0985174179077
1000,40000,10.0,583.3554058074951
1000,40000,30.0,669.9528732299805
1000,40000,5.0,588.8729381561279
1000,50000,0.1,706.8098955154419
1000,50000,0.5,683.9385957717896
1000,50000,1.0,737.7890033721924
1000,50000,10.0,733.2542428970337
1000,50000,30.0,837.4299926757812
1000,50000,5.0,713.0866422653198
2000,20000,0.1,568.7774105072021
2000,20000,0.5,562.1378593444824
2000,20000,1.0,555.8598566055298
2000,20000,10.0,574.563060760498
2000,20000,30.0,669.9528732299805
2000,20000,5.0,547.6767530441284
2000,30000,0.1,882.474531173706
2000,30000,0.5,855.0441675186157
2000,30000,1.0,785.0465507507324
2000,30000,10.0,888.7342014312744
2000,30000,30.0,1004.9112701416016
2000,30000,5.0,869.898717880249
2000,40000,0.1,1159.7997198104858
2000,40000,0.5,1151.9202251434326
2000,40000,1.0,1133.9897346496582
2000,40000,10.0,1222.328540802002
2000,40000,30.0,1355.750512123108
2000,40000,5.0,1173.5953979492188
2000,50000,0.1,1440.2623643875122
2000,50000,0.5,1412.4710788726807
2000,50000,1.0,1457.3536396026611
2000,50000,10.0,1486.6518545150757
2000,50000,30.0,1680.336760520935
2000,50000,5.0,1392.1480569839478
3000,20000,0.1,856.8310098648071
3000,20000,0.5,814.1345834732056
3000,20000,1.0,852.7171030044556
3000,20000,10.0,897.709734916687
3000,20000,30.0,1004.9115905761719
3000,20000,5.0,888.7357788085938
3000,30000,0.1,1313.1520147323608
3000,30000,0.5,1293.5313367843628
3000,30000,1.0,1294.8973093032837
3000,30000,10.0,1346.229817390442
3000,30000,30.0,1507.398292541504
3000,30000,5.0,1317.9052047729492
3000,40000,0.1,1762.6965007781982
3000,40000,0.5,1700.6561651229858
3000,40000,1.0,1743.7449827194214
3000,40000,10.0,1752.6140985488892
3000,40000,30.0,2030.5859651565552
3000,40000,5.0,1747.4659442901611
3000,50000,0.1,2142.2948455810547
3000,50000,0.5,2058.002619743347
5000,20000,0.1,1458.115146636963
5000,20000,0.5,1406.1046924591064
5000,20000,1.0,1380.0800247192383
5000,20000,10.0,1470.7130060195923
5000,20000,30.0,1678.8487405776978
5000,20000,5.0,1422.2324686050415
5000,30000,0.1,2165.160412788391
5000,30000,0.5,2147.6984939575195
5000,30000,1.0,2107.340503692627
5000,30000,10.0,2220.5335807800293
5000,30000,30.0,2512.297317504883
5000,30000,5.0,2180.1837615966797
5000,40000,0.1,2807.151569366455
5000,40000,0.5,2798.187865257263
5000,40000,1.0,2765.8906927108765
5000,40000,10.0,2954.485068321228
5000,40000,30.0,3349.7496490478516
5000,40000,5.0,2877.2846460342407
500,20000,0.1,141.58190250396729
500,20000,0.5,145.52198791503906
500,20000,1.0,138.79254245758057
500,20000,10.0,139.60474491119385
500,20000,30.0,171.21657180786133
500,20000,5.0,139.6723518371582
500,30000,0.1,217.56865119934082
500,30000,0.5,215.42206859588623
500,30000,1.0,228.20968627929688
