,Gene Size,Cell Size,Percent,Peak Memory Usage
86,500,20000,0.1,141.58190250396729
87,500,20000,0.5,145.52198791503906
88,500,20000,1.0,138.79254245758057
91,500,20000,5.0,139.6723518371582
89,500,20000,10.0,139.60474491119385
90,500,20000,30.0,171.21657180786133
92,500,30000,0.1,217.5686511993408
93,500,30000,0.5,215.42206859588623
94,500,30000,1.0,228.20968627929688
97,500,30000,5.0,209.32789516448972
95,500,30000,10.0,230.96547603607175
96,500,30000,30.0,252.49530220031735
98,500,40000,0.1,294.8583974838257
99,500,40000,0.5,286.6057481765747
100,500,40000,1.0,291.0957899093628
103,500,40000,5.0,292.90730476379395
101,500,40000,10.0,300.0908784866333
102,500,40000,30.0,334.97176361083984
104,500,50000,0.1,390.5202283859253
105,500,50000,0.5,371.25289154052734
106,500,50000,1.0,374.6270980834961
109,500,50000,5.0,376.9347724914551
107,500,50000,10.0,388.23899841308594
108,500,50000,30.0,426.5202531814575
138,500,60000,0.1,439.67913818359375
139,500,60000,0.5,429.9935665130615
140,500,60000,1.0,415.1930780410767
143,500,60000,5.0,396.1959056854248
141,500,60000,10.0,442.0823669433594
142,500,60000,30.0,502.4617309570313
0,1000,20000,0.1,304.0341444015503
1,1000,20000,0.5,289.4931869506836
2,1000,20000,1.0,284.1021604537964
5,1000,20000,5.0,283.1830739974976
3,1000,20000,10.0,303.00417137146
4,1000,20000,30.0,334.97176361083984
6,1000,30000,0.1,450.4162788391113
7,1000,30000,0.5,427.28405475616455
8,1000,30000,1.0,436.7104549407959
11,1000,30000,5.0,425.9156894683838
9,1000,30000,10.0,448.87038707733154
10,1000,30000,30.0,502.4615097045898
12,1000,40000,0.1,565.8384523391724
13,1000,40000,0.5,576.2435445785522
14,1000,40000,1.0,560.0985174179077
17,1000,40000,5.0,588.8729381561279
15,1000,40000,10.0,583.3554058074951
16,1000,40000,30.0,669.9528732299805
18,1000,50000,0.1,706.8098955154419
19,1000,50000,0.5,683.9385957717896
20,1000,50000,1.0,737.7890033721924
23,1000,50000,5.0,713.0866422653198
21,1000,50000,10.0,733.2542428970337
22,1000,50000,30.0,837.4299926757812
110,1000,60000,0.1,823.725152015686
111,1000,60000,0.5,864.4179515838623
112,1000,60000,1.0,805.1967830657959
115,1000,60000,5.0,913.0936431884766
113,1000,60000,10.0,929.4186992645264
114,1000,60000,30.0,1004.911590576172
24,2000,20000,0.1,568.7774105072021
25,2000,20000,0.5,562.1378593444824
26,2000,20000,1.0,555.8598566055298
29,2000,20000,5.0,547.6767530441284
27,2000,20000,10.0,574.563060760498
28,2000,20000,30.0,669.9528732299805
30,2000,30000,0.1,882.474531173706
31,2000,30000,0.5,855.0441675186157
32,2000,30000,1.0,785.0465507507324
35,2000,30000,5.0,869.898717880249
33,2000,30000,10.0,888.7342014312744
34,2000,30000,30.0,1004.9112701416016
36,2000,40000,0.1,1159.7997198104858
37,2000,40000,0.5,1151.9202251434326
38,2000,40000,1.0,1133.9897346496582
41,2000,40000,5.0,1173.5953979492188
39,2000,40000,10.0,1222.328540802002
40,2000,40000,30.0,1355.750512123108
42,2000,50000,0.1,1440.2623643875122
43,2000,50000,0.5,1412.471078872681
44,2000,50000,1.0,1457.3536396026611
47,2000,50000,5.0,1392.1480569839478
45,2000,50000,10.0,1486.6518545150757
46,2000,50000,30.0,1680.336760520935
116,2000,60000,0.1,1629.3826150894165
117,2000,60000,0.5,1757.4524087905884
118,2000,60000,1.0,1644.421877861023
121,2000,60000,5.0,1703.6168270111084
119,2000,60000,10.0,1809.0265378952024
120,2000,60000,30.0,2009.8670806884768
48,3000,20000,0.1,856.8310098648071
49,3000,20000,0.5,814.1345834732056
50,3000,20000,1.0,852.7171030044556
53,3000,20000,5.0,888.7357788085938
51,3000,20000,10.0,897.709734916687
52,3000,20000,30.0,1004.911590576172
54,3000,30000,0.1,1313.1520147323608
55,3000,30000,0.5,1293.5313367843628
56,3000,30000,1.0,1294.8973093032837
59,3000,30000,5.0,1317.9052047729492
57,3000,30000,10.0,1346.229817390442
58,3000,30000,30.0,1507.398292541504
60,3000,40000,0.1,1762.6965007781982
61,3000,40000,0.5,1700.6561651229858
62,3000,40000,1.0,1743.7449827194214
65,3000,40000,5.0,1747.4659442901611
63,3000,40000,10.0,1752.6140985488892
64,3000,40000,30.0,2030.5859651565552
66,3000,50000,0.1,2142.2948455810547
67,3000,50000,0.5,2058.002619743347
122,3000,50000,1.0,2105.104016304016
125,3000,50000,5.0,2224.3440504074097
123,3000,50000,10.0,2289.83494758606
124,3000,50000,30.0,2512.297317504883
126,3000,60000,0.1,2479.8722352981567
127,3000,60000,0.5,2483.632173538208
128,3000,60000,1.0,2478.23533821106
131,3000,60000,5.0,2580.5939168930054
129,3000,60000,10.0,2617.985127449036
130,3000,60000,30.0,3029.2140417099
68,5000,20000,0.1,1458.115146636963
69,5000,20000,0.5,1406.1046924591064
70,5000,20000,1.0,1380.0800247192385
73,5000,20000,5.0,1422.2324686050415
71,5000,20000,10.0,1470.7130060195925
72,5000,20000,30.0,1678.8487405776978
74,5000,30000,0.1,2165.160412788391
75,5000,30000,0.5,2147.6984939575195
76,5000,30000,1.0,2107.340503692627
79,5000,30000,5.0,2180.18376159668
77,5000,30000,10.0,2220.5335807800293
78,5000,30000,30.0,2512.297317504883
80,5000,40000,0.1,2807.151569366455
81,5000,40000,0.5,2798.187865257263
82,5000,40000,1.0,2765.8906927108765
85,5000,40000,5.0,2877.2846460342407
83,5000,40000,10.0,2954.485068321228
84,5000,40000,30.0,3349.749649047852
132,5000,50000,0.1,3501.5993967056274
133,5000,50000,0.5,3519.551125526428
134,5000,50000,1.0,3492.649272918701
137,5000,50000,5.0,3573.450740814209
135,5000,50000,10.0,3685.699732780457
136,5000,50000,30.0,4224.797756195068
144,5000,60000,0.1,4274.191863059998
145,5000,60000,0.5,4223.980401992798
146,5000,60000,1.0,4264.392592430115
149,5000,60000,5.0,4318.4069356918335
147,5000,60000,10.0,4453.282322883606
148,5000,60000,30.0,5024.654609680176
160,7500,20000,0.1,2168.0654315948486
161,7500,20000,0.5,2136.6956129074097
162,7500,20000,1.0,2120.1116189956665
165,7500,20000,5.0,2136.232008934021
163,7500,20000,10.0,2232.5114965438843
164,7500,20000,30.0,2512.297317504883
150,10000,20000,0.1,2898.5437183380127
151,10000,20000,0.5,2838.4588098526
152,10000,20000,1.0,2818.7292280197144
155,10000,20000,5.0,2841.998839378357
153,10000,20000,10.0,2964.295859336853
154,10000,20000,30.0,3349.749763488769
156,20000,20000,0.1,5753.325192451477
157,20000,20000,0.5,5686.107459068298
158,20000,20000,1.0,5691.546324729919
159,20000,20000,5.0,5682.429060935974
