Gene Size,Cell Size,Percent,Peak Memory Usage
20000,20000,0.1,3063.9236907958984
20000,20000,0.5,3112.5528259277344
20000,20000,1.0,3173.3466186523438
20000,20000,10.0,4267.674835205078
20000,20000,30.0,6699.486968994141
20000,20000,5.0,3659.7193603515625
40000,20000,0.1,6127.834136962891
40000,20000,0.5,6225.101898193359
40000,20000,1.0,6346.694305419922
40000,20000,10.0,8535.36947631836
40000,20000,30.0,13399.037322998047
40000,20000,5.0,7319.453430175781
60000,20000,0.1,9191.754089355469
60000,20000,0.5,9337.664855957031
60000,20000,1.0,9520.050659179688
60000,20000,5.0,10979.157897949219
20000,40000,0.1,40.412692070007324
20000,40000,0.5,121.5861587524414
20000,40000,1.0,243.17868041992188
20000,40000,10.0,2431.853805541992
20000,40000,30.0,7295.52165222168
20000,40000,5.0,1215.9378051757812
20000,60000,0.1,38.326918601989746
20000,60000,0.5,182.39146423339844
20000,60000,1.0,364.77710723876953
40000,40000,0.5,243.19237518310547
40000,40000,1.0,486.37188720703125
40000,40000,10.0,4863.643936157227
40000,40000,30.0,14591.005325317383
40000,40000,5.0,2431.840805053711
60000,20000,30.0,10943.228012084961
60000,40000,0.1,75.02737331390381
60000,40000,0.5,364.77252197265625
60000,40000,1.0,729.5518035888672
60000,40000,10.0,7295.46598815918
